category,emoji,ja,reading,ru,en
culture,🎴,roasted 祭り,roasted-matsuri [roasted-matsuri],мацури (roasted),festival (roasted)
culture,🎌,roasted 盆栽,roasted-bonsai [roasted-bonsai],бонсаи (roasted),bonsai (roasted)
culture,🎶,茶道,sado [sado],садо,tea ceremony
culture,📿,節分,setsubun [setsubun],сэцубун,Setsubun
culture,🎌,祭り,matsuri [matsuri],мацури,festival
culture,🎎,cold 神社,cold-jinja [cold-jinja],дзиндзя (cold),shrine (cold)
culture,🏮,steamed 節分,steamed-setsubun [steamed-setsubun],сэцубун (steamed),Setsubun (steamed)
culture,🎐,sweet 書道,sweet-shodo [swet-shodo],сёдо (sweet),calligraphy (sweet)
culture,🎌,mini 神社,mini-jinja [mini-jinja],дзиндзя (mini),shrine (mini)
culture,🎶,grilled 浴衣,grilled-yukata [grilled-yukata],юката (grilled),yukata (grilled)
culture,🎐,roasted 祭り,roasted-matsuri [roasted-matsuri],мацури (roasted),festival (roasted)
culture,🎍,roasted 花見,roasted-hanami [roasted-hanami],ханами (roasted),hanami (roasted)
culture,🎍,grilled 浮世絵,grilled-ukiyoe [grilled-ukiyoe],укиёэ (grilled),ukiyo-e (grilled)
culture,🪗,節分,setsubun [setsubun],сэцубун,Setsubun
culture,🎎,祭り,matsuri [matsuri],мацури,festival
culture,🎌,spicy 節分,spicy-setsubun [spicy-setsubun],сэцубун (spicy),Setsubun (spicy)
culture,📿,roasted 歌舞伎,roasted-kabuki [roasted-kabuki],кабуки (roasted),kabuki (roasted)
culture,🎌,steamed 寺,steamed-tera [steamed-tera],тэра (steamed),temple (steamed)
culture,🎴,roasted 歌舞伎,roasted-kabuki [roasted-kabuki],кабуки (roasted),kabuki (roasted)
culture,🎍,roasted 神社,roasted-jinja [roasted-jinja],дзиндзя (roasted),shrine (roasted)
culture,🎎,mini 浮世絵,mini-ukiyoe [mini-ukiyoe],укиёэ (mini),ukiyo-e (mini)
culture,🎶,steamed 祭り,steamed-matsuri [steamed-matsuri],мацури (steamed),festival (steamed)
culture,🎌,着物,kimono [kimono],кимоно,kimono
culture,🪗,with_sauce 寺,with_sauce-tera [with_sauce-tera],тэра (with_sauce),temple (with_sauce)
culture,🎍,cold 花見,cold-hanami [cold-hanami],ханами (cold),hanami (cold)
culture,🏮,with_sauce 神社,with_sauce-jinja [with_sauce-jinja],дзиндзя (with_sauce),shrine (with_sauce)
culture,🎴,着物,kimono [kimono],кимоно,kimono
culture,📿,歌舞伎,kabuki [kabuki],кабуки,kabuki
culture,🎶,mini 折り紙,mini-origami [mini-origami],оригами (mini),origami (mini)
culture,🎍,fried 能,fried-nou [fried-no],ноу (fried),Noh (fried)
culture,🎶,fried お盆,fried-obon [fried-obon],обон (fried),Obon (fried)
culture,🎍,with_sauce 能,with_sauce-nou [with_sauce-no],ноу (with_sauce),Noh (with_sauce)
culture,🎐,with_sauce 茶道,with_sauce-sado [with_sauce-sado],садо (with_sauce),tea ceremony (with_sauce)
culture,🎶,浴衣,yukata [yukata],юката,yukata
culture,📿,with_sauce 浮世絵,with_sauce-ukiyoe [with_sauce-ukiyoe],укиёэ (with_sauce),ukiyo-e (with_sauce)
culture,🎎,寺,tera [tera],тэра,temple
culture,🏮,祭り,matsuri [matsuri],мацури,festival
culture,🎎,roasted 節分,roasted-setsubun [roasted-setsubun],сэцубун (roasted),Setsubun (roasted)
culture,🎏,with_sauce 能,with_sauce-nou [with_sauce-no],ноу (with_sauce),Noh (with_sauce)
culture,📿,spicy 節分,spicy-setsubun [spicy-setsubun],сэцубун (spicy),Setsubun (spicy)
culture,🎌,roasted 書道,roasted-shodo [roasted-shodo],сёдо (roasted),calligraphy (roasted)
culture,🎌,fresh 神社,fresh-jinja [fresh-jinja],дзиндзя (fresh),shrine (fresh)
culture,📿,grilled 着物,grilled-kimono [grilled-kimono],кимоно (grilled),kimono (grilled)
culture,🎌,浮世絵,ukiyoe [ukiyoe],укиёэ,ukiyo-e
culture,🎴,steamed 節分,steamed-setsubun [steamed-setsubun],сэцубун (steamed),Setsubun (steamed)
culture,🎍,お盆,obon [obon],обон,Obon
culture,🏮,with_sauce 盆栽,with_sauce-bonsai [with_sauce-bonsai],бонсаи (with_sauce),bonsai (with_sauce)
culture,🏮,mini 書道,mini-shodo [mini-shodo],сёдо (mini),calligraphy (mini)
culture,🎌,fresh 祭り,fresh-matsuri [fresh-matsuri],мацури (fresh),festival (fresh)
culture,🎴,roasted 茶道,roasted-sado [roasted-sado],садо (roasted),tea ceremony (roasted)
culture,🎌,grilled 能,grilled-nou [grilled-no],ноу (grilled),Noh (grilled)
culture,🎎,sweet 能,sweet-nou [swet-no],ноу (sweet),Noh (sweet)
culture,🎍,grilled 着物,grilled-kimono [grilled-kimono],кимоно (grilled),kimono (grilled)
culture,🏮,盆栽,bonsai [bonsai],бонсаи,bonsai
culture,📿,fried 折り紙,fried-origami [fried-origami],оригами (fried),origami (fried)
culture,🎐,fresh 書道,fresh-shodo [fresh-shodo],сёдо (fresh),calligraphy (fresh)
culture,🎎,mini 節分,mini-setsubun [mini-setsubun],сэцубун (mini),Setsubun (mini)
culture,🎎,spicy 盆栽,spicy-bonsai [spicy-bonsai],бонсаи (spicy),bonsai (spicy)
culture,🎎,節分,setsubun [setsubun],сэцубун,Setsubun
culture,🎶,mini 能,mini-nou [mini-no],ноу (mini),Noh (mini)
culture,🎎,spicy 節分,spicy-setsubun [spicy-setsubun],сэцубун (spicy),Setsubun (spicy)
culture,🪗,steamed 祭り,steamed-matsuri [steamed-matsuri],мацури (steamed),festival (steamed)
culture,🎶,sweet 浮世絵,sweet-ukiyoe [swet-ukiyoe],укиёэ (sweet),ukiyo-e (sweet)
culture,🎌,歌舞伎,kabuki [kabuki],кабуки,kabuki
culture,🎴,祭り,matsuri [matsuri],мацури,festival
culture,🎎,steamed 神社,steamed-jinja [steamed-jinja],дзиндзя (steamed),shrine (steamed)
culture,🎏,祭り,matsuri [matsuri],мацури,festival
culture,🎶,cold 神社,cold-jinja [cold-jinja],дзиндзя (cold),shrine (cold)
culture,🎐,sweet 盆栽,sweet-bonsai [swet-bonsai],бонсаи (sweet),bonsai (sweet)
culture,🎏,花見,hanami [hanami],ханами,hanami
culture,🎶,着物,kimono [kimono],кимоно,kimono
culture,🏮,着物,kimono [kimono],кимоно,kimono
culture,🎏,お盆,obon [obon],обон,Obon
culture,🎎,with_sauce 書道,with_sauce-shodo [with_sauce-shodo],сёдо (with_sauce),calligraphy (with_sauce)
culture,🎐,節分,setsubun [setsubun],сэцубун,Setsubun
culture,🎴,着物,kimono [kimono],кимоно,kimono
culture,🎍,spicy 神社,spicy-jinja [spicy-jinja],дзиндзя (spicy),shrine (spicy)
culture,🎐,roasted 折り紙,roasted-origami [roasted-origami],оригами (roasted),origami (roasted)
culture,🎏,fried 浴衣,fried-yukata [fried-yukata],юката (fried),yukata (fried)
culture,🏮,sweet 茶道,sweet-sado [swet-sado],садо (sweet),tea ceremony (sweet)
culture,🎍,盆栽,bonsai [bonsai],бонсаи,bonsai
culture,🎌,sweet 花見,sweet-hanami [swet-hanami],ханами (sweet),hanami (sweet)
culture,🎐,with_sauce 浴衣,with_sauce-yukata [with_sauce-yukata],юката (with_sauce),yukata (with_sauce)
culture,🏮,spicy 浴衣,spicy-yukata [spicy-yukata],юката (spicy),yukata (spicy)
culture,🎶,fried 節分,fried-setsubun [fried-setsubun],сэцубун (fried),Setsubun (fried)
culture,🎏,grilled 浮世絵,grilled-ukiyoe [grilled-ukiyoe],укиёэ (grilled),ukiyo-e (grilled)
culture,🎌,お盆,obon [obon],обон,Obon
culture,🎍,折り紙,origami [origami],оригами,origami
culture,🪗,fresh 着物,fresh-kimono [fresh-kimono],кимоно (fresh),kimono (fresh)
culture,🎌,sweet 寺,sweet-tera [swet-tera],тэра (sweet),temple (sweet)
culture,🎎,mini 祭り,mini-matsuri [mini-matsuri],мацури (mini),festival (mini)
culture,🪗,着物,kimono [kimono],кимоно,kimono
culture,🏮,祭り,matsuri [matsuri],мацури,festival
culture,🎴,盆栽,bonsai [bonsai],бонсаи,bonsai
culture,📿,mini 書道,mini-shodo [mini-shodo],сёдо (mini),calligraphy (mini)
culture,🎍,茶道,sado [sado],садо,tea ceremony
culture,🎐,cold 節分,cold-setsubun [cold-setsubun],сэцубун (cold),Setsubun (cold)
culture,🎴,spicy 歌舞伎,spicy-kabuki [spicy-kabuki],кабуки (spicy),kabuki (spicy)
culture,🪗,節分,setsubun [setsubun],сэцубун,Setsubun
culture,🎍,grilled 神社,grilled-jinja [grilled-jinja],дзиндзя (grilled),shrine (grilled)
culture,🎐,spicy 祭り,spicy-matsuri [spicy-matsuri],мацури (spicy),festival (spicy)
culture,🎍,神社,jinja [jinja],дзиндзя,shrine
culture,🎎,花見,hanami [hanami],ханами,hanami
culture,🎎,steamed 折り紙,steamed-origami [steamed-origami],оригами (steamed),origami (steamed)
culture,🏮,折り紙,origami [origami],оригами,origami
culture,🎏,steamed 茶道,steamed-sado [steamed-sado],садо (steamed),tea ceremony (steamed)
culture,🪗,fresh 書道,fresh-shodo [fresh-shodo],сёдо (fresh),calligraphy (fresh)
culture,🎏,fried 茶道,fried-sado [fried-sado],садо (fried),tea ceremony (fried)
culture,🎏,roasted 盆栽,roasted-bonsai [roasted-bonsai],бонсаи (roasted),bonsai (roasted)
culture,🏮,roasted 盆栽,roasted-bonsai [roasted-bonsai],бонсаи (roasted),bonsai (roasted)
culture,🪗,能,nou [no],ноу,Noh
culture,🎏,with_sauce 浮世絵,with_sauce-ukiyoe [with_sauce-ukiyoe],укиёэ (with_sauce),ukiyo-e (with_sauce)
culture,🏮,cold 着物,cold-kimono [cold-kimono],кимоно (cold),kimono (cold)
culture,🎌,steamed お盆,steamed-obon [steamed-obon],обон (steamed),Obon (steamed)
culture,📿,cold お盆,cold-obon [cold-obon],обон (cold),Obon (cold)
culture,🎐,steamed 祭り,steamed-matsuri [steamed-matsuri],мацури (steamed),festival (steamed)
culture,🎴,grilled 寺,grilled-tera [grilled-tera],тэра (grilled),temple (grilled)
culture,🎎,steamed 浴衣,steamed-yukata [steamed-yukata],юката (steamed),yukata (steamed)
culture,🎐,fried 歌舞伎,fried-kabuki [fried-kabuki],кабуки (fried),kabuki (fried)
culture,🏮,折り紙,origami [origami],оригами,origami
culture,🎎,roasted 着物,roasted-kimono [roasted-kimono],кимоно (roasted),kimono (roasted)
culture,🎴,書道,shodo [shodo],сёдо,calligraphy
culture,🏮,cold お盆,cold-obon [cold-obon],обон (cold),Obon (cold)
culture,🎏,fried 盆栽,fried-bonsai [fried-bonsai],бонсаи (fried),bonsai (fried)
culture,🎏,mini お盆,mini-obon [mini-obon],обон (mini),Obon (mini)
culture,🪗,お盆,obon [obon],обон,Obon
culture,🪗,折り紙,origami [origami],оригами,origami
culture,🎐,能,nou [no],ноу,Noh
culture,🎐,着物,kimono [kimono],кимоно,kimono
culture,🎏,お盆,obon [obon],обон,Obon
culture,🏮,sweet 祭り,sweet-matsuri [swet-matsuri],мацури (sweet),festival (sweet)
culture,🏮,sweet 折り紙,sweet-origami [swet-origami],оригами (sweet),origami (sweet)
culture,📿,mini 浴衣,mini-yukata [mini-yukata],юката (mini),yukata (mini)
culture,🎏,fried 能,fried-nou [fried-no],ноу (fried),Noh (fried)
culture,🪗,fresh 歌舞伎,fresh-kabuki [fresh-kabuki],кабуки (fresh),kabuki (fresh)
culture,🎴,steamed 茶道,steamed-sado [steamed-sado],садо (steamed),tea ceremony (steamed)
culture,🎶,fried 花見,fried-hanami [fried-hanami],ханами (fried),hanami (fried)
culture,🎴,sweet 浮世絵,sweet-ukiyoe [swet-ukiyoe],укиёэ (sweet),ukiyo-e (sweet)
culture,🎶,grilled 神社,grilled-jinja [grilled-jinja],дзиндзя (grilled),shrine (grilled)
culture,📿,浮世絵,ukiyoe [ukiyoe],укиёэ,ukiyo-e
culture,🎎,cold 寺,cold-tera [cold-tera],тэра (cold),temple (cold)
culture,📿,fried 祭り,fried-matsuri [fried-matsuri],мацури (fried),festival (fried)
culture,🪗,節分,setsubun [setsubun],сэцубун,Setsubun
culture,🏮,with_sauce 浮世絵,with_sauce-ukiyoe [with_sauce-ukiyoe],укиёэ (with_sauce),ukiyo-e (with_sauce)
culture,🎍,roasted 節分,roasted-setsubun [roasted-setsubun],сэцубун (roasted),Setsubun (roasted)
culture,🎴,能,nou [no],ноу,Noh
culture,🏮,fried 書道,fried-shodo [fried-shodo],сёдо (fried),calligraphy (fried)
culture,🎶,with_sauce 花見,with_sauce-hanami [with_sauce-hanami],ханами (with_sauce),hanami (with_sauce)
culture,📿,fresh 能,fresh-nou [fresh-no],ноу (fresh),Noh (fresh)
culture,🎍,祭り,matsuri [matsuri],мацури,festival
culture,📿,cold 浮世絵,cold-ukiyoe [cold-ukiyoe],укиёэ (cold),ukiyo-e (cold)
culture,🎶,roasted 盆栽,roasted-bonsai [roasted-bonsai],бонсаи (roasted),bonsai (roasted)
culture,🎴,祭り,matsuri [matsuri],мацури,festival
culture,📿,with_sauce 能,with_sauce-nou [with_sauce-no],ноу (with_sauce),Noh (with_sauce)
culture,🎏,fried 花見,fried-hanami [fried-hanami],ханами (fried),hanami (fried)
culture,🏮,fried 寺,fried-tera [fried-tera],тэра (fried),temple (fried)
culture,🏮,祭り,matsuri [matsuri],мацури,festival
culture,🎐,with_sauce 寺,with_sauce-tera [with_sauce-tera],тэра (with_sauce),temple (with_sauce)
culture,🎶,お盆,obon [obon],обон,Obon
culture,🏮,着物,kimono [kimono],кимоно,kimono
culture,🎐,grilled 折り紙,grilled-origami [grilled-origami],оригами (grilled),origami (grilled)
culture,🎐,花見,hanami [hanami],ханами,hanami
culture,📿,寺,tera [tera],тэра,temple
culture,🎌,roasted 歌舞伎,roasted-kabuki [roasted-kabuki],кабуки (roasted),kabuki (roasted)
culture,🎶,roasted 寺,roasted-tera [roasted-tera],тэра (roasted),temple (roasted)
culture,🎏,盆栽,bonsai [bonsai],бонсаи,bonsai
culture,🎐,歌舞伎,kabuki [kabuki],кабуки,kabuki
culture,🎐,spicy 歌舞伎,spicy-kabuki [spicy-kabuki],кабуки (spicy),kabuki (spicy)
culture,🎎,with_sauce 歌舞伎,with_sauce-kabuki [with_sauce-kabuki],кабуки (with_sauce),kabuki (with_sauce)
culture,🎶,能,nou [no],ноу,Noh
culture,🎎,cold 能,cold-nou [cold-no],ноу (cold),Noh (cold)
culture,🎍,fried 節分,fried-setsubun [fried-setsubun],сэцубун (fried),Setsubun (fried)
culture,🪗,歌舞伎,kabuki [kabuki],кабуки,kabuki
culture,🎎,mini 神社,mini-jinja [mini-jinja],дзиндзя (mini),shrine (mini)
culture,🎐,sweet 折り紙,sweet-origami [swet-origami],оригами (sweet),origami (sweet)
culture,🎌,能,nou [no],ноу,Noh
culture,🎶,with_sauce 書道,with_sauce-shodo [with_sauce-shodo],сёдо (with_sauce),calligraphy (with_sauce)
culture,🎴,sweet 神社,sweet-jinja [swet-jinja],дзиндзя (sweet),shrine (sweet)
culture,🎍,grilled 茶道,grilled-sado [grilled-sado],садо (grilled),tea ceremony (grilled)
culture,🎶,grilled 浴衣,grilled-yukata [grilled-yukata],юката (grilled),yukata (grilled)
culture,🎎,fried 盆栽,fried-bonsai [fried-bonsai],бонсаи (fried),bonsai (fried)
culture,🎍,steamed 書道,steamed-shodo [steamed-shodo],сёдо (steamed),calligraphy (steamed)
culture,🎶,with_sauce 神社,with_sauce-jinja [with_sauce-jinja],дзиндзя (with_sauce),shrine (with_sauce)
culture,🎎,with_sauce 節分,with_sauce-setsubun [with_sauce-setsubun],сэцубун (with_sauce),Setsubun (with_sauce)
culture,🪗,fresh 浮世絵,fresh-ukiyoe [fresh-ukiyoe],укиёэ (fresh),ukiyo-e (fresh)
culture,🎏,grilled 能,grilled-nou [grilled-no],ноу (grilled),Noh (grilled)
culture,🎴,steamed 折り紙,steamed-origami [steamed-origami],оригами (steamed),origami (steamed)
culture,🏮,書道,shodo [shodo],сёдо,calligraphy
culture,📿,fried 神社,fried-jinja [fried-jinja],дзиндзя (fried),shrine (fried)
culture,📿,歌舞伎,kabuki [kabuki],кабуки,kabuki
culture,📿,浴衣,yukata [yukata],юката,yukata
culture,🎌,浮世絵,ukiyoe [ukiyoe],укиёэ,ukiyo-e
culture,🎶,茶道,sado [sado],садо,tea ceremony
culture,🎐,grilled 書道,grilled-shodo [grilled-shodo],сёдо (grilled),calligraphy (grilled)
culture,📿,茶道,sado [sado],садо,tea ceremony
culture,🎶,fresh 浴衣,fresh-yukata [fresh-yukata],юката (fresh),yukata (fresh)
culture,🎏,mini 折り紙,mini-origami [mini-origami],оригами (mini),origami (mini)
culture,🏮,grilled 書道,grilled-shodo [grilled-shodo],сёдо (grilled),calligraphy (grilled)
culture,🏮,fried 祭り,fried-matsuri [fried-matsuri],мацури (fried),festival (fried)
culture,🎍,折り紙,origami [origami],оригами,origami
culture,🎎,spicy 書道,spicy-shodo [spicy-shodo],сёдо (spicy),calligraphy (spicy)
culture,🎐,sweet 歌舞伎,sweet-kabuki [swet-kabuki],кабуки (sweet),kabuki (sweet)
culture,🪗,spicy 着物,spicy-kimono [spicy-kimono],кимоно (spicy),kimono (spicy)
culture,🎏,mini 花見,mini-hanami [mini-hanami],ханами (mini),hanami (mini)
culture,🎍,spicy 寺,spicy-tera [spicy-tera],тэра (spicy),temple (spicy)
culture,🪗,mini 着物,mini-kimono [mini-kimono],кимоно (mini),kimono (mini)
culture,🎴,steamed 着物,steamed-kimono [steamed-kimono],кимоно (steamed),kimono (steamed)
culture,🎎,浴衣,yukata [yukata],юката,yukata
culture,🪗,書道,shodo [shodo],сёдо,calligraphy
culture,📿,fried 茶道,fried-sado [fried-sado],садо (fried),tea ceremony (fried)
culture,🎶,sweet 着物,sweet-kimono [swet-kimono],кимоно (sweet),kimono (sweet)
culture,🏮,roasted 茶道,roasted-sado [roasted-sado],садо (roasted),tea ceremony (roasted)
culture,🪗,お盆,obon [obon],обон,Obon
culture,🎴,spicy 歌舞伎,spicy-kabuki [spicy-kabuki],кабуки (spicy),kabuki (spicy)
culture,🎌,with_sauce 寺,with_sauce-tera [with_sauce-tera],тэра (with_sauce),temple (with_sauce)
culture,🎴,with_sauce 茶道,with_sauce-sado [with_sauce-sado],садо (with_sauce),tea ceremony (with_sauce)
culture,🎴,fresh 神社,fresh-jinja [fresh-jinja],дзиндзя (fresh),shrine (fresh)
culture,🎴,茶道,sado [sado],садо,tea ceremony
culture,🎏,roasted 花見,roasted-hanami [roasted-hanami],ханами (roasted),hanami (roasted)
culture,🏮,お盆,obon [obon],обон,Obon
culture,📿,mini 歌舞伎,mini-kabuki [mini-kabuki],кабуки (mini),kabuki (mini)
culture,🎶,spicy 着物,spicy-kimono [spicy-kimono],кимоно (spicy),kimono (spicy)
culture,🎶,sweet 花見,sweet-hanami [swet-hanami],ханами (sweet),hanami (sweet)
culture,🪗,茶道,sado [sado],садо,tea ceremony
culture,🎏,steamed 茶道,steamed-sado [steamed-sado],садо (steamed),tea ceremony (steamed)
culture,🎶,roasted 茶道,roasted-sado [roasted-sado],садо (roasted),tea ceremony (roasted)
culture,🎐,fried 能,fried-nou [fried-no],ноу (fried),Noh (fried)
culture,🏮,steamed 浴衣,steamed-yukata [steamed-yukata],юката (steamed),yukata (steamed)
culture,🎍,浴衣,yukata [yukata],юката,yukata
culture,🎶,浮世絵,ukiyoe [ukiyoe],укиёэ,ukiyo-e
culture,🎏,着物,kimono [kimono],кимоно,kimono
culture,🎐,書道,shodo [shodo],сёдо,calligraphy
culture,🎏,着物,kimono [kimono],кимоно,kimono
culture,🎍,茶道,sado [sado],садо,tea ceremony
culture,🏮,書道,shodo [shodo],сёдо,calligraphy
culture,🎍,神社,jinja [jinja],дзиндзя,shrine
culture,🎴,roasted 祭り,roasted-matsuri [roasted-matsuri],мацури (roasted),festival (roasted)
culture,📿,着物,kimono [kimono],кимоно,kimono
culture,🏮,花見,hanami [hanami],ханами,hanami
culture,🎌,歌舞伎,kabuki [kabuki],кабуки,kabuki
culture,🎶,mini 書道,mini-shodo [mini-shodo],сёдо (mini),calligraphy (mini)
culture,🎐,spicy 節分,spicy-setsubun [spicy-setsubun],сэцубун (spicy),Setsubun (spicy)
culture,🎌,mini 神社,mini-jinja [mini-jinja],дзиндзя (mini),shrine (mini)
culture,🎏,steamed お盆,steamed-obon [steamed-obon],обон (steamed),Obon (steamed)
culture,🎏,sweet 茶道,sweet-sado [swet-sado],садо (sweet),tea ceremony (sweet)
culture,🎏,盆栽,bonsai [bonsai],бонсаи,bonsai
culture,🪗,祭り,matsuri [matsuri],мацури,festival
culture,🎎,steamed 盆栽,steamed-bonsai [steamed-bonsai],бонсаи (steamed),bonsai (steamed)
culture,🎴,神社,jinja [jinja],дзиндзя,shrine
culture,🎎,浴衣,yukata [yukata],юката,yukata
culture,🪗,with_sauce 浮世絵,with_sauce-ukiyoe [with_sauce-ukiyoe],укиёэ (with_sauce),ukiyo-e (with_sauce)
culture,🎏,fried 能,fried-nou [fried-no],ноу (fried),Noh (fried)
culture,🎐,roasted 書道,roasted-shodo [roasted-shodo],сёдо (roasted),calligraphy (roasted)
culture,🎍,spicy 神社,spicy-jinja [spicy-jinja],дзиндзя (spicy),shrine (spicy)
culture,🎌,steamed 祭り,steamed-matsuri [steamed-matsuri],мацури (steamed),festival (steamed)
culture,🪗,roasted 書道,roasted-shodo [roasted-shodo],сёдо (roasted),calligraphy (roasted)
culture,🎌,cold 祭り,cold-matsuri [cold-matsuri],мацури (cold),festival (cold)
culture,📿,steamed 花見,steamed-hanami [steamed-hanami],ханами (steamed),hanami (steamed)
culture,🪗,roasted 寺,roasted-tera [roasted-tera],тэра (roasted),temple (roasted)
culture,📿,書道,shodo [shodo],сёдо,calligraphy
culture,🎌,with_sauce 神社,with_sauce-jinja [with_sauce-jinja],дзиндзя (with_sauce),shrine (with_sauce)
culture,🎍,cold 浮世絵,cold-ukiyoe [cold-ukiyoe],укиёэ (cold),ukiyo-e (cold)
culture,🪗,fried お盆,fried-obon [fried-obon],обон (fried),Obon (fried)
culture,🎎,sweet 祭り,sweet-matsuri [swet-matsuri],мацури (sweet),festival (sweet)
culture,🎴,折り紙,origami [origami],оригами,origami
culture,🎶,roasted 歌舞伎,roasted-kabuki [roasted-kabuki],кабуки (roasted),kabuki (roasted)
culture,🎌,with_sauce 能,with_sauce-nou [with_sauce-no],ноу (with_sauce),Noh (with_sauce)
culture,🎎,fresh 折り紙,fresh-origami [fresh-origami],оригами (fresh),origami (fresh)
culture,🎶,浴衣,yukata [yukata],юката,yukata
culture,🎶,sweet 茶道,sweet-sado [swet-sado],садо (sweet),tea ceremony (sweet)
culture,🎎,浴衣,yukata [yukata],юката,yukata
culture,🎍,sweet 寺,sweet-tera [swet-tera],тэра (sweet),temple (sweet)
culture,🎍,fresh 折り紙,fresh-origami [fresh-origami],оригами (fresh),origami (fresh)
culture,📿,roasted 折り紙,roasted-origami [roasted-origami],оригами (roasted),origami (roasted)
culture,🎌,steamed 折り紙,steamed-origami [steamed-origami],оригами (steamed),origami (steamed)
culture,🎐,roasted 能,roasted-nou [roasted-no],ноу (roasted),Noh (roasted)
culture,🎌,折り紙,origami [origami],оригами,origami
culture,🎶,mini 花見,mini-hanami [mini-hanami],ханами (mini),hanami (mini)
culture,🎏,steamed 花見,steamed-hanami [steamed-hanami],ханами (steamed),hanami (steamed)
culture,🎶,mini 盆栽,mini-bonsai [mini-bonsai],бонсаи (mini),bonsai (mini)
culture,🏮,盆栽,bonsai [bonsai],бонсаи,bonsai
culture,🎌,浴衣,yukata [yukata],юката,yukata
culture,🎶,mini 折り紙,mini-origami [mini-origami],оригами (mini),origami (mini)
culture,🎌,祭り,matsuri [matsuri],мацури,festival
culture,🎎,cold 浮世絵,cold-ukiyoe [cold-ukiyoe],укиёэ (cold),ukiyo-e (cold)
culture,🏮,steamed お盆,steamed-obon [steamed-obon],обон (steamed),Obon (steamed)
culture,🎌,roasted 寺,roasted-tera [roasted-tera],тэра (roasted),temple (roasted)
culture,🎎,fresh 着物,fresh-kimono [fresh-kimono],кимоно (fresh),kimono (fresh)
culture,🎌,花見,hanami [hanami],ханами,hanami
culture,🎐,折り紙,origami [origami],оригами,origami
culture,🎍,roasted 浴衣,roasted-yukata [roasted-yukata],юката (roasted),yukata (roasted)
culture,🎶,書道,shodo [shodo],сёдо,calligraphy
culture,🪗,mini 寺,mini-tera [mini-tera],тэра (mini),temple (mini)
culture,🎴,sweet 歌舞伎,sweet-kabuki [swet-kabuki],кабуки (sweet),kabuki (sweet)
culture,🪗,sweet お盆,sweet-obon [swet-obon],обон (sweet),Obon (sweet)
culture,🏮,spicy 歌舞伎,spicy-kabuki [spicy-kabuki],кабуки (spicy),kabuki (spicy)
culture,🎶,steamed 書道,steamed-shodo [steamed-shodo],сёдо (steamed),calligraphy (steamed)
culture,🎴,浴衣,yukata [yukata],юката,yukata
culture,🎏,cold 着物,cold-kimono [cold-kimono],кимоно (cold),kimono (cold)
culture,🎐,祭り,matsuri [matsuri],мацури,festival
nature,🌸,fresh 森林,fresh-shinrin [fresh-shinrin],синрин (fresh),forest (fresh)
nature,❄️,roasted 森林,roasted-shinrin [roasted-shinrin],синрин (roasted),forest (roasted)
nature,🐦,fried 紅葉,fried-kouyou [fried-koyo],ко:ё (fried),autumn leaves (fried)
nature,🏔️,grilled 森林,grilled-shinrin [grilled-shinrin],синрин (grilled),forest (grilled)
nature,❄️,潮,shio [shio],сио,tide
nature,🌳,fresh 海,fresh-umi [fresh-umi],уми (fresh),sea (fresh)
nature,🌕,桜,sakura [sakura],са́кура,cherry blossom
nature,🌲,富士山,Fujisan [Fujisan],Фу́дзисан,Mount Fuji
nature,🌊,with_sauce 山,with_sauce-yama [with_sauce-yama],яма (with_sauce),mountain (with_sauce)
nature,❄️,星,hoshi [hoshi],хоси,star
nature,🌊,紅葉,kouyou [koyo],ко:ё,autumn leaves
nature,🌸,mini 潮,mini-shio [mini-shio],сио (mini),tide (mini)
nature,🍁,cold 月,cold-tsuki [cold-tsuki],цуки (cold),moon (cold)
nature,🌧️,fresh 月,fresh-tsuki [fresh-tsuki],цуки (fresh),moon (fresh)
nature,❄️,富士山,Fujisan [Fujisan],Фу́дзисан,Mount Fuji
nature,🌳,川,kawa [kawa],кава,river
nature,🐦,with_sauce 海,with_sauce-umi [with_sauce-umi],уми (with_sauce),sea (with_sauce)
nature,🌾,温泉,onsen [onsen],онсэн,hot spring
nature,🌕,桜,sakura [sakura],са́кура,cherry blossom
nature,🌕,紅葉,kouyou [koyo],ко:ё,autumn leaves
nature,🐦,mini 雪,mini-yuki [mini-yuki],юки (mini),snow (mini)
nature,🌲,roasted 川,roasted-kawa [roasted-kawa],кава (roasted),river (roasted)
nature,❄️,山,yama [yama],яма,mountain
nature,🏔️,fried 海,fried-umi [fried-umi],уми (fried),sea (fried)
nature,🐦,山,yama [yama],яма,mountain
nature,❄️,with_sauce 紅葉,with_sauce-kouyou [with_sauce-koyo],ко:ё (with_sauce),autumn leaves (with_sauce)
nature,❄️,fried 山,fried-yama [fried-yama],яма (fried),mountain (fried)
nature,🌲,fried 潮,fried-shio [fried-shio],сио (fried),tide (fried)
nature,🐦,spicy 雪,spicy-yuki [spicy-yuki],юки (spicy),snow (spicy)
nature,🏔️,fresh 富士山,fresh-Fujisan [fresh-Fujisan],Фу́дзисан (fresh),Mount Fuji (fresh)
nature,🏔️,roasted 月,roasted-tsuki [roasted-tsuki],цуки (roasted),moon (roasted)
nature,🌊,fried 紅葉,fried-kouyou [fried-koyo],ко:ё (fried),autumn leaves (fried)
nature,🌊,星,hoshi [hoshi],хоси,star
nature,🌲,sweet 鯉,sweet-koi [swet-koi],кои (sweet),koi (sweet)
